State,PollScore,SampleSize,NumericGrade,PollRecency,Percentage,CandidateName
North Carolina,-1.1,600,2.1,7,47.2,Donald Trump
NA,-1.1,1110,2.8,8,48,Kamala Harris
NA,-1.1,1110,2.8,8,50,Donald Trump
NA,-1.1,870,2.8,8,48,Kamala Harris
NA,-1.1,870,2.8,8,50,Donald Trump
Georgia,-0.5,1328,2.8,9,45,Kamala Harris
Georgia,-0.5,1328,2.8,9,52,Donald Trump
Georgia,-0.5,1328,2.8,9,46,Kamala Harris
Georgia,-0.5,1328,2.8,9,52,Donald Trump
North Carolina,-0.5,1031,2.8,9,49,Kamala Harris
North Carolina,-0.5,1031,2.8,9,47,Donald Trump
North Carolina,-0.5,1031,2.8,9,50,Kamala Harris
North Carolina,-0.5,1031,2.8,9,47,Donald Trump
Washington,-1.3,703,2.8,10,57,Kamala Harris
Washington,-1.3,703,2.8,10,35,Donald Trump
Georgia,-0.5,701,2.6,10,45.8,Kamala Harris
Georgia,-0.5,701,2.6,10,48.9,Donald Trump
NA,-0.6,806,2.6,11,50,Kamala Harris
NA,-0.6,806,2.6,11,47,Donald Trump
Maryland,NA,400,NA,41,62.9,Kamala Harris
Maryland,NA,400,NA,41,37.1,Donald Trump
NA,-0.4,1212,1.8,8,49,Kamala Harris
NA,-0.4,1212,1.8,8,46,Donald Trump
NA,-0.1,2596,1.5,8,49,Kamala Harris
NA,-0.1,2596,1.5,8,48,Donald Trump
NA,-0.1,2596,1.5,8,51,Kamala Harris
NA,-0.1,2596,1.5,8,49,Donald Trump
NA,-0.1,3145,1.5,8,51,Kamala Harris
NA,-0.1,3145,1.5,8,49,Donald Trump
NA,-0.1,3145,1.5,8,49,Kamala Harris
NA,-0.1,3145,1.5,8,48,Donald Trump
NA,-0.3,8647,1.9,8,50,Kamala Harris
NA,-0.3,8647,1.9,8,46,Donald Trump
Michigan,NA,692,NA,8,49,Kamala Harris
Michigan,NA,692,NA,8,48,Donald Trump
NA,-0.9,807,2.8,8,45,Kamala Harris
NA,-0.9,807,2.8,8,42,Donald Trump
NA,-0.9,769,2.8,8,47,Kamala Harris
NA,-0.9,769,2.8,8,44,Donald Trump
NA,-0.9,938,2.8,8,41,Kamala Harris
NA,-0.9,938,2.8,8,37,Donald Trump
Arizona,0.6,1090,0.7,9,46,Kamala Harris
Arizona,0.6,1090,0.7,9,47.5,Donald Trump
North Carolina,0.6,1085,0.7,9,44.6,Kamala Harris
North Carolina,0.6,1085,0.7,9,46.5,Donald Trump
Nevada,0.6,1088,0.7,9,45.6,Kamala Harris
Nevada,0.6,1088,0.7,9,44.8,Donald Trump
Washington,NA,400,NA,42,60,Kamala Harris
Washington,NA,400,NA,42,40,Donald Trump
NA,-0.3,8901,1.9,9,50,Kamala Harris
NA,-0.3,8901,1.9,9,46,Donald Trump
Washington,-0.2,401,1.9,11,57,Kamala Harris
Washington,-0.2,401,1.9,11,32,Donald Trump
NA,-0.3,8902,1.9,10,50,Kamala Harris
NA,-0.3,8902,1.9,10,46,Donald Trump
NA,-0.1,2010,1.5,10,51,Kamala Harris
NA,-0.1,2010,1.5,10,49,Donald Trump
NA,-0.1,1692,1.5,10,51,Kamala Harris
NA,-0.1,1692,1.5,10,49,Donald Trump
NA,-0.1,1622,1.5,10,51,Kamala Harris
NA,-0.1,1622,1.5,10,49,Donald Trump
NA,-0.1,2010,1.5,10,49,Kamala Harris
NA,-0.1,2010,1.5,10,46,Donald Trump
NA,-0.1,1692,1.5,10,49,Kamala Harris
NA,-0.1,1692,1.5,10,48,Donald Trump
NA,-0.1,1622,1.5,10,49,Kamala Harris
NA,-0.1,1622,1.5,10,49,Donald Trump
NA,-1.1,2712,3,11,51,Kamala Harris
NA,-1.1,2712,3,11,48,Donald Trump
Michigan,0.1,600,1.8,12,44.9,Kamala Harris
Michigan,0.1,600,1.8,12,44,Donald Trump
NA,-0.3,9556,1.9,11,50,Kamala Harris
NA,-0.3,9556,1.9,11,46,Donald Trump
NA,-0.9,1401,2.9,11,52,Kamala Harris
NA,-0.9,1401,2.9,11,47,Donald Trump
NA,-0.9,1708,2.9,11,51,Kamala Harris
NA,-0.9,1708,2.9,11,48,Donald Trump
NA,-0.4,2945,2.3,12,50,Kamala Harris
NA,-0.4,2945,2.3,12,47,Donald Trump
Pennsylvania,-1.5,857,3,12,50,Kamala Harris
Pennsylvania,-1.5,857,3,12,47,Donald Trump
Pennsylvania,-1.5,857,3,12,49,Kamala Harris
Pennsylvania,-1.5,857,3,12,45,Donald Trump
Pennsylvania,-1.5,857,3,12,50,Kamala Harris
Pennsylvania,-1.5,857,3,12,47,Donald Trump
Pennsylvania,-1.5,857,3,12,49,Kamala Harris
Pennsylvania,-1.5,857,3,12,45,Donald Trump
Arizona,-1.5,808,3,12,46,Kamala Harris
Arizona,-1.5,808,3,12,51,Donald Trump
Arizona,-1.5,808,3,12,45,Kamala Harris
Arizona,-1.5,808,3,12,50,Donald Trump
Arizona,-1.5,808,3,12,45,Kamala Harris
Arizona,-1.5,808,3,12,51,Donald Trump
Arizona,-1.5,808,3,12,44,Kamala Harris
Arizona,-1.5,808,3,12,49,Donald Trump
Georgia,-0.4,731,2.3,12,47,Kamala Harris
Georgia,-0.4,731,2.3,12,50,Donald Trump
Massachusetts,-0.4,700,2.4,16,56,Kamala Harris
Massachusetts,-0.4,700,2.4,16,30,Donald Trump
Pennsylvania,NA,1193,NA,17,47.6,Kamala Harris
Pennsylvania,NA,1193,NA,17,49,Donald Trump
Pennsylvania,NA,1193,NA,17,49.5,Kamala Harris
Pennsylvania,NA,1193,NA,17,50.5,Donald Trump
New Hampshire,-1,600,2.9,17,50,Kamala Harris
New Hampshire,-1,600,2.9,17,41,Donald Trump
Texas,-1.1,1091,3,17,46,Kamala Harris
Texas,-1.1,1091,3,17,51,Donald Trump
NA,-1.1,780,3,18,50,Kamala Harris
NA,-1.1,780,3,18,50,Donald Trump
NA,-1.1,780,3,18,43,Kamala Harris
NA,-1.1,780,3,18,39,Donald Trump
NA,-1.1,652,3,18,50,Kamala Harris
NA,-1.1,652,3,18,50,Donald Trump
NA,-1.1,652,3,18,44,Kamala Harris
NA,-1.1,652,3,18,41,Donald Trump
Texas,-0.3,1329,2.2,23,46,Kamala Harris
Texas,-0.3,1329,2.2,23,51,Donald Trump
California,NA,400,NA,27,63.5,Kamala Harris
California,NA,400,NA,27,36.5,Donald Trump
Missouri,NA,400,NA,41,42.8,Kamala Harris
Missouri,NA,400,NA,41,57.2,Donald Trump
Michigan,-0.3,800,2,11,46,Kamala Harris
Michigan,-0.3,800,2,11,48,Donald Trump
Wisconsin,-0.3,800,2,11,48,Kamala Harris
Wisconsin,-0.3,800,2,11,48,Donald Trump
Georgia,0.4,608,1.8,11,47,Kamala Harris
Georgia,0.4,608,1.8,11,48,Donald Trump
Pennsylvania,0.4,707,1.8,11,46,Kamala Harris
Pennsylvania,0.4,707,1.8,11,48,Donald Trump
Alaska,-0.1,1254,1.9,11,43,Kamala Harris
Alaska,-0.1,1254,1.9,11,50,Donald Trump
Alaska,-0.1,1254,1.9,11,46,Kamala Harris
Alaska,-0.1,1254,1.9,11,54,Donald Trump
Pennsylvania,-0.4,1079,1.8,12,49.2,Kamala Harris
Pennsylvania,-0.4,1079,1.8,12,45.3,Donald Trump
Pennsylvania,-0.4,803,1.8,12,47.5,Kamala Harris
Pennsylvania,-0.4,803,1.8,12,48.9,Donald Trump
Pennsylvania,-0.4,1079,1.8,12,48.5,Kamala Harris
Pennsylvania,-0.4,1079,1.8,12,44.9,Donald Trump
Pennsylvania,-0.4,803,1.8,12,48.3,Kamala Harris
Pennsylvania,-0.4,803,1.8,12,49,Donald Trump
NA,-0.3,10188,1.9,12,50,Kamala Harris
NA,-0.3,10188,1.9,12,46,Donald Trump
Arizona,0.3,800,NA,13,46,Kamala Harris
Arizona,0.3,800,NA,13,49,Donald Trump
Georgia,0.3,800,NA,13,45,Kamala Harris
Georgia,0.3,800,NA,13,50,Donald Trump
Michigan,0.3,800,NA,13,48,Kamala Harris
Michigan,0.3,800,NA,13,49,Donald Trump
Nevada,0.3,800,NA,13,47,Kamala Harris
Nevada,0.3,800,NA,13,50,Donald Trump
North Carolina,0.3,800,NA,13,47,Kamala Harris
North Carolina,0.3,800,NA,13,48,Donald Trump
Pennsylvania,0.3,800,NA,13,48,Kamala Harris
Pennsylvania,0.3,800,NA,13,49,Donald Trump
Wisconsin,0.3,800,NA,13,48,Kamala Harris
Wisconsin,0.3,800,NA,13,49,Donald Trump
Pennsylvania,-1,800,2.9,17,46,Kamala Harris
Pennsylvania,-1,800,2.9,17,45,Donald Trump
Michigan,NA,400,NA,34,51.2,Kamala Harris
Michigan,NA,400,NA,34,48.8,Donald Trump
Minnesota,NA,400,NA,39,52.9,Kamala Harris
Minnesota,NA,400,NA,39,47.1,Donald Trump
Pennsylvania,-0.3,800,2,12,47,Kamala Harris
Pennsylvania,-0.3,800,2,12,49,Donald Trump
Georgia,0.6,1089,0.7,12,44.9,Kamala Harris
Georgia,0.6,1089,0.7,12,46.2,Donald Trump
NA,NA,5500,NA,12,46.9,Kamala Harris
NA,NA,5500,NA,12,45.6,Donald Trump
NA,0.3,2180,1.1,13,49,Kamala Harris
NA,0.3,2180,1.1,13,47,Donald Trump
NA,-0.3,10812,1.9,13,50,Kamala Harris
NA,-0.3,10812,1.9,13,46,Donald Trump
Arizona,-1.1,1000,2.9,14,48.2,Kamala Harris
Arizona,-1.1,1000,2.9,14,50.5,Donald Trump
Georgia,-1.1,1000,2.9,14,49.8,Kamala Harris
Georgia,-1.1,1000,2.9,14,49.7,Donald Trump
Michigan,-1.1,950,2.9,14,49.7,Kamala Harris
Michigan,-1.1,950,2.9,14,49.6,Donald Trump
Nevada,-1.1,900,2.9,14,49.2,Kamala Harris
Nevada,-1.1,900,2.9,14,48.1,Donald Trump
North Carolina,-1.1,1000,2.9,14,49,Kamala Harris
North Carolina,-1.1,1000,2.9,14,49.9,Donald Trump
Pennsylvania,-1.1,1000,2.9,14,49,Kamala Harris
Pennsylvania,-1.1,1000,2.9,14,49.7,Donald Trump
Wisconsin,-1.1,1000,2.9,14,49.2,Kamala Harris
Wisconsin,-1.1,1000,2.9,14,49.9,Donald Trump
Montana,-1.5,656,3,14,39,Kamala Harris
Montana,-1.5,656,3,14,57,Donald Trump
Montana,-1.5,656,3,14,38,Kamala Harris
Montana,-1.5,656,3,14,56,Donald Trump
Montana,-1.5,656,3,14,40,Kamala Harris
Montana,-1.5,656,3,14,57,Donald Trump
Montana,-1.5,656,3,14,39,Kamala Harris
Montana,-1.5,656,3,14,56,Donald Trump
Nebraska,NA,600,NA,14,37,Kamala Harris
Nebraska,NA,600,NA,14,57,Donald Trump
Pennsylvania,0.2,800,1.6,14,47,Kamala Harris
Pennsylvania,0.2,800,1.6,14,47,Donald Trump
Florida,-0.4,818,1.6,14,44,Kamala Harris
Florida,-0.4,818,1.6,14,51,Donald Trump
NA,-0.7,1000,2.6,15,46,Kamala Harris
NA,-0.7,1000,2.6,15,47,Donald Trump
NA,-0.7,1000,2.6,15,48,Kamala Harris
NA,-0.7,1000,2.6,15,48,Donald Trump
NA,-0.9,2631,2.8,15,49,Kamala Harris
NA,-0.9,2631,2.8,15,48,Donald Trump
NA,-0.9,2226,2.8,15,49,Kamala Harris
NA,-0.9,2226,2.8,15,47,Donald Trump
NA,-0.9,1714,2.8,15,50,Kamala Harris
NA,-0.9,1714,2.8,15,48,Donald Trump
NA,-0.9,2631,2.8,15,50,Kamala Harris
NA,-0.9,2631,2.8,15,49,Donald Trump
NA,-0.9,2226,2.8,15,50,Kamala Harris
NA,-0.9,2226,2.8,15,49,Donald Trump
NA,-0.9,1714,2.8,15,51,Kamala Harris
NA,-0.9,1714,2.8,15,48,Donald Trump
NA,NA,1000,NA,16,49.4,Kamala Harris
NA,NA,1000,NA,16,50.6,Donald Trump
Nebraska,0.6,895,1.4,16,38,Kamala Harris
Nebraska,0.6,895,1.4,16,58,Donald Trump
Michigan,-0.3,600,1.7,17,46,Kamala Harris
Michigan,-0.3,600,1.7,17,46,Donald Trump
Michigan,-0.3,600,1.7,17,48,Kamala Harris
Michigan,-0.3,600,1.7,17,49,Donald Trump
Arizona,NA,600,NA,21,47,Kamala Harris
Arizona,NA,600,NA,21,45,Donald Trump
Arizona,NA,600,NA,21,48,Kamala Harris
Arizona,NA,600,NA,21,46,Donald Trump
Georgia,NA,600,NA,21,46,Kamala Harris
Georgia,NA,600,NA,21,45,Donald Trump
Georgia,NA,600,NA,21,48,Kamala Harris
Georgia,NA,600,NA,21,46,Donald Trump
Michigan,NA,600,NA,21,47,Kamala Harris
Michigan,NA,600,NA,21,45,Donald Trump
Michigan,NA,600,NA,21,49,Kamala Harris
Michigan,NA,600,NA,21,47,Donald Trump
North Carolina,NA,600,NA,21,45,Kamala Harris
North Carolina,NA,600,NA,21,46,Donald Trump
North Carolina,NA,600,NA,21,47,Kamala Harris
North Carolina,NA,600,NA,21,47,Donald Trump
Nevada,NA,600,NA,21,42,Kamala Harris
Nevada,NA,600,NA,21,47,Donald Trump
Nevada,NA,600,NA,21,43,Kamala Harris
Nevada,NA,600,NA,21,49,Donald Trump
Pennsylvania,NA,600,NA,21,45,Kamala Harris
Pennsylvania,NA,600,NA,21,46,Donald Trump
Pennsylvania,NA,600,NA,21,46,Kamala Harris
Pennsylvania,NA,600,NA,21,47,Donald Trump
Wisconsin,NA,600,NA,21,46,Kamala Harris
Wisconsin,NA,600,NA,21,45,Donald Trump
Wisconsin,NA,600,NA,21,48,Kamala Harris
Wisconsin,NA,600,NA,21,48,Donald Trump
Tennessee,0.1,1200,1.8,22,35,Kamala Harris
Tennessee,0.1,1200,1.8,22,54,Donald Trump
Tennessee,0.1,971,1.8,22,35,Kamala Harris
Tennessee,0.1,971,1.8,22,56,Donald Trump
Arizona,NA,400,NA,43,49.3,Kamala Harris
Arizona,NA,400,NA,43,50.7,Donald Trump
NA,-1.1,1414,3,13,47,Kamala Harris
NA,-1.1,1414,3,13,44,Donald Trump
NA,-1.1,1230,3,13,49,Kamala Harris
NA,-1.1,1230,3,13,45,Donald Trump
Arizona,NA,735,NA,14,48.7,Kamala Harris
Arizona,NA,735,NA,14,47.8,Donald Trump
Michigan,-0.5,450,2.4,14,51,Kamala Harris
Michigan,-0.5,450,2.4,14,48,Donald Trump
Pennsylvania,-0.5,450,2.4,14,50,Kamala Harris
Pennsylvania,-0.5,450,2.4,14,49,Donald Trump
Wisconsin,-0.5,450,2.4,14,50,Kamala Harris
Wisconsin,-0.5,450,2.4,14,48,Donald Trump
NA,-0.3,11739,1.9,14,51,Kamala Harris
NA,-0.3,11739,1.9,14,45,Donald Trump
NA,-0.9,1272,2.8,15,42,Kamala Harris
NA,-0.9,1272,2.8,15,38,Donald Trump
NA,-0.9,1076,2.8,15,46,Kamala Harris
NA,-0.9,1076,2.8,15,43,Donald Trump
NA,-0.9,1076,2.8,15,47,Kamala Harris
NA,-0.9,1076,2.8,15,45,Donald Trump
NA,-0.9,1272,2.8,15,48,Kamala Harris
NA,-0.9,1272,2.8,15,47,Donald Trump
NA,-0.9,1076,2.8,15,50,Kamala Harris
NA,-0.9,1076,2.8,15,48,Donald Trump
NA,-0.9,1076,2.8,15,51,Kamala Harris
NA,-0.9,1076,2.8,15,49,Donald Trump
Michigan,-0.5,1007,2.8,16,47,Kamala Harris
Michigan,-0.5,1007,2.8,16,50,Donald Trump
Michigan,-0.5,1007,2.8,16,47,Kamala Harris
Michigan,-0.5,1007,2.8,16,51,Donald Trump
Pennsylvania,-0.5,1412,2.8,16,49,Kamala Harris
Pennsylvania,-0.5,1412,2.8,16,46,Donald Trump
Pennsylvania,-0.5,1412,2.8,16,49,Kamala Harris
Pennsylvania,-0.5,1412,2.8,16,47,Donald Trump
Wisconsin,-0.5,1073,2.8,16,46,Kamala Harris
Wisconsin,-0.5,1073,2.8,16,48,Donald Trump
Wisconsin,-0.5,1073,2.8,16,47,Kamala Harris
Wisconsin,-0.5,1073,2.8,16,49,Donald Trump
Florida,-0.9,1257,2.9,16,47,Kamala Harris
Florida,-0.9,1257,2.9,16,51,Donald Trump
Florida,-0.9,1410,2.9,16,47,Kamala Harris
Florida,-0.9,1410,2.9,16,51,Donald Trump
Texas,-0.9,1365,2.9,16,46,Kamala Harris
Texas,-0.9,1365,2.9,16,52,Donald Trump
Texas,-0.9,1186,2.9,16,46,Kamala Harris
Texas,-0.9,1186,2.9,16,53,Donald Trump
Ohio,-0.9,1511,2.9,16,46,Kamala Harris
Ohio,-0.9,1511,2.9,16,52,Donald Trump
Ohio,-0.9,1327,2.9,16,46,Kamala Harris
Ohio,-0.9,1327,2.9,16,52,Donald Trump
Ohio,-1.2,1002,3,16,45,Kamala Harris
Ohio,-1.2,1002,3,16,51,Donald Trump
Ohio,-1.2,1002,3,16,44,Kamala Harris
Ohio,-1.2,1002,3,16,51,Donald Trump
Pennsylvania,NA,1037,NA,17,47.4,Kamala Harris
Pennsylvania,NA,1037,NA,17,48.4,Donald Trump
Pennsylvania,NA,1037,NA,17,46.6,Kamala Harris
Pennsylvania,NA,1037,NA,17,46.8,Donald Trump
Utah,-0.4,539,2.4,17,38,Kamala Harris
Utah,-0.4,539,2.4,17,54,Donald Trump
Utah,-0.4,539,2.4,17,36,Kamala Harris
Utah,-0.4,539,2.4,17,54,Donald Trump
Utah,-0.4,600,2.4,17,39,Kamala Harris
Utah,-0.4,600,2.4,17,52,Donald Trump
Utah,-0.4,600,2.4,17,37,Kamala Harris
Utah,-0.4,600,2.4,17,51,Donald Trump
NA,0.4,1918,1.8,13,47.72,Kamala Harris
NA,0.4,1918,1.8,13,45.99,Donald Trump
NA,-0.5,1001,2.4,15,49,Kamala Harris
NA,-0.5,1001,2.4,15,45,Donald Trump
NA,-0.3,11353,1.9,15,51,Kamala Harris
NA,-0.3,11353,1.9,15,46,Donald Trump
Texas,NA,811,NA,17,45,Kamala Harris
Texas,NA,811,NA,17,50,Donald Trump
Texas,NA,775,NA,17,45,Kamala Harris
Texas,NA,775,NA,17,50,Donald Trump
Wisconsin,NA,700,NA,17,47,Kamala Harris
Wisconsin,NA,700,NA,17,48,Donald Trump
NA,-0.4,4025,2.5,19,48,Kamala Harris
NA,-0.4,4025,2.5,19,47,Donald Trump
NA,-0.4,4025,2.5,19,50,Kamala Harris
NA,-0.4,4025,2.5,19,49,Donald Trump
NA,-1.5,3385,3,20,49,Kamala Harris
NA,-1.5,3385,3,20,46,Donald Trump
NA,-1.5,3385,3,20,47,Kamala Harris
NA,-1.5,3385,3,20,44,Donald Trump
Florida,-1.5,622,3,20,41,Kamala Harris
Florida,-1.5,622,3,20,55,Donald Trump
Florida,-1.5,622,3,20,40,Kamala Harris
Florida,-1.5,622,3,20,53,Donald Trump
Florida,-1.5,622,3,20,41,Kamala Harris
Florida,-1.5,622,3,20,54,Donald Trump
Florida,-1.5,622,3,20,40,Kamala Harris
Florida,-1.5,622,3,20,53,Donald Trump
Florida,NA,400,NA,32,47,Kamala Harris
Florida,NA,400,NA,32,53,Donald Trump
North Carolina,NA,400,NA,42,50.8,Kamala Harris
North Carolina,NA,400,NA,42,49.2,Donald Trump
NA,-0.3,10844,1.9,16,51,Kamala Harris
NA,-0.3,10844,1.9,16,45,Donald Trump
Massachusetts,-1,500,2.9,18,61.2,Kamala Harris
Massachusetts,-1,500,2.9,18,32.2,Donald Trump
Illinois,NA,400,NA,46,58.8,Kamala Harris
Illinois,NA,400,NA,46,41.2,Donald Trump
NA,-0.4,997,1.8,17,49,Kamala Harris
NA,-0.4,997,1.8,17,46,Donald Trump
NA,-0.4,997,1.8,17,48,Kamala Harris
NA,-0.4,997,1.8,17,45,Donald Trump
NA,-1.1,1150,3,17,46,Kamala Harris
NA,-1.1,1150,3,17,45,Donald Trump
NA,-1.1,1032,3,17,47,Kamala Harris
NA,-1.1,1032,3,17,47,Donald Trump
NA,-1.1,1151,3,17,48,Kamala Harris
NA,-1.1,1151,3,17,46,Donald Trump
NA,-1.1,1033,3,17,48,Kamala Harris
NA,-1.1,1033,3,17,47,Donald Trump
NA,1.7,1013,1.2,17,44.5,Kamala Harris
NA,1.7,1013,1.2,17,41.5,Donald Trump
NA,1.7,841,1.2,17,48.7,Kamala Harris
NA,1.7,841,1.2,17,44.6,Donald Trump
NA,1.7,755,1.2,17,49.9,Kamala Harris
NA,1.7,755,1.2,17,46.4,Donald Trump
NA,-0.3,10454,1.9,17,51,Kamala Harris
NA,-0.3,10454,1.9,17,45,Donald Trump
NA,-0.4,2290,2.4,17,49,Kamala Harris
NA,-0.4,2290,2.4,17,46,Donald Trump
NA,-0.4,2290,2.4,17,49,Kamala Harris
NA,-0.4,2290,2.4,17,47,Donald Trump
NA,-0.4,2560,2.4,17,47,Kamala Harris
NA,-0.4,2560,2.4,17,46,Donald Trump
NA,-0.4,2560,2.4,17,47,Kamala Harris
NA,-0.4,2560,2.4,17,45,Donald Trump
Michigan,-0.2,600,1.5,18,46.8,Kamala Harris
Michigan,-0.2,600,1.5,18,44.2,Donald Trump
Florida,-1.1,625,2.6,18,43,Kamala Harris
Florida,-1.1,625,2.6,18,49,Donald Trump
Texas,-1.5,617,3,20,44,Kamala Harris
Texas,-1.5,617,3,20,50,Donald Trump
Texas,-1.5,617,3,20,42,Kamala Harris
Texas,-1.5,617,3,20,49,Donald Trump
